Temporary In-house Box Reference	Existing box label(s)	Accessed by	Box contents summary	Covering Dates
1	1992. Proofs & Manuscripts! How do you eat yours? H	TB AW (14.02.13); 	Packets labelled: Sail Out of Land proofs 1992; Holub Jingle Bell proofs 1992; Conn Luncheon of Boating Party mss of proof 1992; Redgrove Cyclopean Mistress 1992; English Earthqulke Salzman proofs 1992; Sail Out of Land 1992	1992
2	1992. Proofs & Manuscripts 	TB AW (14.02.13); 	"Packets labelled: Frederico Garcia Lorca Selected Poems 1992; D.M. Thomas The Puberty Tree 1992; Thomas New & Uncollected Poems 1992; Lorca Old Versions 1992; Dave Smith Night Pleasures 1992; Miroslav Holub The Jingle Bell Principle 1992; R.S. Thomas Mass for Hard Times 1992; Tony Flynn Body Politic Proofs 1992; French Poets 1992 (2); French Poets 1992 (1); Stainer Slave Ship Proofs 1992; Yves Bonnefoy, Douve; Loose sheets- proof of Michaux Deplacements Degagements"	1992
3	1994 Coca-Cola Presents… Proofs & Manuscripts! The Real Thing D	TB AW (14.02.13); 	Packets labelled: Proofs John Hartley Williams Double 1994; Houston Hunters in the Snow 1994; Douglas Oliver Penniless Politics proofs 1994; Brendan Kennelley Journey Into Joy mss & proofs 1994; Joolz Pride of Lions proofs 1994; David Constantine Caspar Hause mss & proofs 1994; Heslop Out of the Old Earth 1994;  Ann Sansom Romance mss & proofs 1994; Ekelof '94; Bill Herbert Forked Tongue 1994	1994
4	1997 Proofs & Manuscripts	TB AW (14.02.13); 	Packets labelled: Imtiaz Dharker Postcards from god proofs '97; Bestiary Helen Dunmore 97; Jenny Joseph Extended Similes Proofs & mss '97; Jean 'Binta' Breeze On the Edge of an Island proofs & mss '97; '97; Dirty Washing proofs '97; Transtromer/ Fulton First half 1997; I have Lots of Heart Hernandez proofs & mss 1997; Ruth Pader Angel proofs & mss 1997	1997
5	1993 Proofs & Manuscripts You put your left leg in… T	TB AW (14.02.13);  TB AW (19.04.13);	Packets labelled: Bertolucci selected poems mss & proofs 1993; Klaonica Smith/ Benson Proofs & mss 1993; D'Aguar British Subjects Proofs etc 1993; Henry Normal Nude Proof 1993; Spread of Sponsorship Sir Roy Shaw 1993; Apple Fire Pirrie proofs & mss 1993; Kathleen Jamie Autonomous Region mss & proofs 1993; Ken Smith Tender to the Queen of Spain proofs & mss 1993	1993
6	2000 Proofs & Manuscripts! What else? Chocolate? 	TB AW (14.02.13); 	"Packets labelled: Adcock Poems 1960 -2000; Edna Longley Poetry and Posterity ms 2000; George Szirtes The Budapest File (more proofs) 2000; Granny Scarecrow ms + proofs 2000; Isabel Martin Reading Peter Reading Final Proof 2000; Chris Greenhalgh Of Love, Death and the
Sea-squirt proofs and transcripts 2000; Bensley Back and the Front of It mss & proofs 2000; Inger Christensen alphabet ms & proofs 2000; Polly Clark Kiss mss and proofs 2000"	2000
11	Proofs & Manuscipts! (creating fun filing since 1998)	TB AW (15.02.13); 	"Packets labelled: Agee Scar on the Stone Bosnian Anthology 1998 mss & proofs; Carol Rumens/Viv Quillin The Miracle Diet proofs and mss 1998; Micheal O’Siadhail Our Double Time mss & proofs 1998; Clair Wills Reading Paul Muldoon mss & proofs 1998; ‘On the Buses’ with
Dostoyevsky Poems by Geoff Hattersley manuscripts and proof 1998; Pamela Gillilan Rashomon Syndrome mss and proofs 1998; Philip Gross Wasting Game proofs and mss 1998; Reading: Ob. 1998; O’Callaghan Two Barks mss and proofs 1998; Ken Smith Wild Root proofs & mss 1998; Brendan Cleary Sacrilege proof & mss 1998; Bev Braune Camouflage proofs 1998"	1998
12	Proofs & M/Scripts	TB AW (15.02.13); 	Packets labelled: Book of Judas (2) 1991 (2 packets); Judas Reject Pems 1991; Media Kennelly 1991; Book of Judas (Brendan's Proof) 1991; Tardieu Proofs etc. 1991	1991
13	Proofs and Manuscripts (Now with 20% more essential info)		Fred Voss Carnegie Hall with Tin Walls 1998; Proofs and MSS John Kinsella 1998 The Hunt Poems 1980-1994; O'Brien Deregulated Moose 1998; O'Brien Deregulated Muse 1998; 1998 Jackie Hardy Canuting the Waves Proofs and MSS;  1998 Scott Selected Poems MSS and Proofs; 1998 Kennelly Man Made of Rain Manuscript; 1998 W. N. Herbert The Laurelude Proofs and MSS	1998
14	Proofs and Manuscripts Filing Can be Fun 1999		Packets labelled: Attila Jozef Iron Blue Vault Proofs and MSS 1999; 1999 John Kinsella Visitants MSS and Proofs; Proofs and MSS Mairi MacInnes Ghost Writer 1999; 1999 Whitehead Garden of Slender Trust MSS and Proofs; Dalton How to Disappear Proofs and MSS; 1999 Eternal Monday Petri Proofs and MSS; 1999 Chase Twichell Snow Watching Proofs and MSS; 1999 Katies In the Grip of Strange Thoughts Proofs; 1999 Ryan Willing Eye Proofs and MSS; 1999 Stewart Conn Stolen Light More Proofs; 1999 Plater Coalhouse Door Proofs and MS	1999
